School,Street Address,Street Zip,Latitude,Longitude
No Data,16700 Norwalk Blvd.,90703-1838,No Data,No Data
ABC Adult,12254 Cuesta Dr.,90703-2801,33.878924,-118.071286
ABC Evening High School,16800 Shoemaker Ave.,90701,No Data,No Data
ABC Secondary (Alternative),12222 Cuesta Dr.,90703-2801,33.878552,-118.071161
ABC Virtual Academy,11939 Aclare St.,90703-2709,33.875048,-118.078203
Accelerated Christian Academy,Information Redacted,90713-1534,Information Redacted,Information Redacted
Aloha Elementary,11737 East 214th St.,90715-2101,33.835176,-118.083725
Artesia High,12108 East Del Amo Blvd.,90715-1516,33.845962,-118.074404
Bloomfield Elementary,12120 E. Carson St.,90716,No Data,No Data
Bragg Elementary,11501 Bos St.,90703-6742,33.855106,-118.089062
Broman School,Information Redacted,90703,Information Redacted,Information Redacted
Burbank (Luther) Elementary,17711 Roseton Ave.,90701-3837,33.868839,-118.086673
Cabrillo Lane Elementary YR,20122 Cabrillo Ln.,90701,No Data,No Data
Carmenita Elem.,No Data,No Data,No Data,No Data
Carmenita Middle,13435 East 166th St.,90703-2301,33.880705,-118.045567
Carver (Charles J.) Elementary,19200 East Ely St.,90703-7157,33.856100,-118.068540
Cerritos Elementary,13600 East 183rd St.,90703-8951,33.865877,-118.041993
Cerritos High,12500 East 183rd St.,90703-8450,33.865464,-118.064791
Cerritos Lane Pre-School,Information Redacted,90703-7604,Information Redacted,Information Redacted
Charisma High School,Information Redacted,90701-4007,Information Redacted,Information Redacted
CL Academy,Information Redacted,90703-7307,Information Redacted,Information Redacted
Concordia Lutheran School,Information Redacted,90703,No Data,No Data
Elliott (William F) Elementary,18415 Cortner Ave.,90703-8402,33.864919,-118.069859
Fedde (Pharis F.) Middle,21409 South Elaine Ave.,90716-1025,33.835028,-118.076580
First Evangelical Church of Cerritos Children,Information Redacted,90703,No Data,No Data
Furgeson (Venn W.) Elementary,22215 Elaine Ave.,90716-1417,33.826696,-118.076086
Gahr (Richard) High,11111 Artesia Blvd.,90703-2533,33.873114,-118.097252
Gonsalves (Joe A.) Elementary,13650 Park St.,90703-1413,33.878666,-118.040853
Haskell (Pliny Fisk) Middle,11525 Del Amo Blvd.,90703-7404,33.846085,-118.087538
Hawaiian Elementary,12350 East 226th St.,90716-1721,33.823770,-118.067690
Honeycomb Learning Center,Information Redacted,90703-7605,Information Redacted,Information Redacted
Juarez (Benito) Elementary,11939 Aclare St.,90703-2709,33.874506,-118.078892
Kennedy (John F.) Elementary,17500 Belshire Ave.,90701-4352,33.872156,-118.070652
Lakewood Montessori School,Information Redacted,90715,Information Redacted,Information Redacted
Leal (Frank C.) Elementary,12920 Droxford St.,90703-6068,33.861096,-118.056768
Melbourne (Ella P.) Elementary,21314 Claretta Ave.,90715-2301,33.836071,-118.067648
Montessori House of Children,Information Redacted,90701,No Data,No Data
New Life Kindergarten,Information Redacted,90701,No Data,No Data
Niemes (John H.) Elementary,16715 Jersey Ave.,90701-1750,33.878578,-118.085684
Nixon (Patricia) Elementary,19600 Jacob Ave.,90703-7526,33.852834,-118.076495
Our Lady of Fatima,18626 Clarkdale Ave.,90701-5815,33.861873,-118.079461
Palms Elementary,12445 East 207th St.,90715-1619,33.842391,-118.066517
Park Montessori School,Information Redacted,90715,No Data,No Data
Ross (Faye) Middle,17707 Elaine Ave.,90701-4018,33.870971,-118.076904
Seat of Wisdom Academy,No Data,No Data,No Data,No Data
Stowers(Cecil B.) Elementary,13350 Beach St.,90703-1331,33.876365,-118.045809
Su Casa Domestic Abuse Network,Information Redacted,90702-0702,No Data,No Data
Teach Me Arnwine Inc,26407 Bouquet Canyon Rd. Ste. 10,91350,34.425607,-118.541404
Tetzlaff (Martin B.) Middle,12351 East Del Amo Blvd.,90703-7635,33.846233,-118.068570
Tracy (Wilbur) High (Continuation),12222 Cuesta Dr.,90703-2801,33.878969,-118.071994
Turner Christian High School,Information Redacted,90716-1545,Information Redacted,Information Redacted
Valley Christian High School,17700 Dumont Ave.,90703-2661,33.870433,-118.103478
Valley Christian Middle School,18100 Dumont Ave,90703-2652,33.867943,-118.102827
Whitney (Gretchen) High,16800 Shoemaker Ave.,90703-1244,33.878999,-118.055114
Willow Elementary,11733 East 205th St.,90715-1324,33.844288,-118.083458
Wittmann (Helen) Elementary,16801 Yvette Ave.,90703-1245,33.878028,-118.057479
No Data,32248 North Crown Valley Rd.,93510-2620,No Data,No Data
Academy of Arts and Sciences: Los Angeles (9-12),17500 Burbank Blvd.,91361-1718,No Data,No Data
Academy of Arts and Sciences: Los Angeles (K-8),17500 Burbank Blvd.,91361-1718,34.172041,-118.514728
Acton Elementary,32248 North Crown Valley Rd.,93510-0068,No Data,No Data
Agua Dulce Elementary,11311 West Frascati St.,91390-4840,34.487306,-118.334942
Albert Einstein Academy Elementary,25300 Rye Canyon,91355-1209,34.437502,-118.576867
"Albert Einstein Academy for Letters, Arts & Sciences - Agua Dulce Partnership Academy",11311 Frascati St.,91390-4840,34.487360,-118.334141
"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",8844 Burton Way,90211-1644,34.071847,-118.385246
"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",8844 Burton Way,90211-1644,34.071847,-118.385246
"Albert Einstein Academy for Letters, Arts and Sciences-STEAM",25443 Orchard Village Rd.,91355-2935,34.390494,-118.549104
Aspen Ridge Preparatory School,Information Redacted,93510-2802,Information Redacted,Information Redacted
Assurance Learning Academy,"43145 Business Center, Ste. 102-103",93535-4564,34.666971,-118.130506
Brown's Flexible Learning Academy,Information Redacted,91387-6415,Information Redacted,Information Redacted
California Pacific Charter- Los Angeles,940 South Coast Dr. #185,92626-7735,33.690239,-117.895377
Compass Charter Schools of Los Angeles,"850 Hampshire Rd., Ste. R",91361-6004,34.155677,-118.830822
Desert Canyon Academy,Information Redacted,91390-1390,No Data,No Data
Empower Generations,44236 10th St. W. Ste. 105,93534-4134,34.687185,-118.147272
High Desert,3620 Antelope Woods Rd.,93510-1757,34.492578,-118.190390
iLead Agua Dulce,11311 Frascati St.,91390-4840,34.487679,-118.332478
iLEAD Hybrid,3720 Sierra Hwy. Ste. A,93510-0500,34.492805,-118.195938
iLEAD Online Charter,3720 Sierra Hwy.,93510-0500,34.492805,-118.195938
Inspire Charter,32248 Crown Valley Rd.,93510-1416,34.472692,-118.196581
Inspire International School,Information Redacted,93510-1416,Information Redacted,Information Redacted
Meadowlark Elementary,3015 West Sacramento St.,93510-2434,34.474210,-118.185750
Method Schools High,317 East Foothill Blvd.,91006-1848,34.151357,-118.022134
Method Schools K-8,317 East Foothill Blvd.,91006-1848,34.151357,-118.022134
"Method Schools, LA",27232 Via Industria,92590-3751,33.510015,-117.183520
Mission Academy,43141 Business Center Pkwy Ste. 102,93535-4532,34.666127,-118.129660
Options for Youth-Acton,"17216 Slover Ave., Ste. L-102",92337-7580,34.063466,-117.429688
Pathways Academy Charter Adult Education,100 East San Marcos Blvd. Ste. 350,92069-2989,33.141522,-117.162458
SCALE Leadership Academy,32248 Crown Valley Rd.,93510-2620,34.472692,-118.196581
Shiloh Christian School,Information Redacted,93510-3510,No Data,No Data
SIATech Academy South,255 S. Mednik Ave.,90022-1607,34.033636,-118.162279
Tree of Life Christian Academy,Information Redacted,93510,No Data,No Data
Valiant Academy of Los Angeles,32248 Crown Valley Rd.,93510-4548,34.472692,-118.196581
Valley Prep 6-8,11251 Glenoaks Blvd.,91331-1621,34.274365,-118.413171
Valley Prep 9-12,14701 Friar St.,91411-2207,34.186082,-118.453497
Valley Prep K-5,11261 Glenoaks Blvd.,91331,34.274999,-118.413104
Vasquez High,33630 Red Rover Mine Rd.,93510-1641,34.493620,-118.216110
No Data,15 West Alhambra Rd.,91802-2110,No Data,No Data
No Data,15 West Alhambra Rd.,91801-2435,No Data,No Data
No Data,15 West Alhambra Rd.,91802-2110,No Data,No Data
Sherman School,Information Redacted,91803,No Data,No Data
No Data,1515 West Mission Rd.,91803-1618,No Data,No Data
Alhambra Community Day,1000 West Eighth St.,91801,No Data,No Data
Alhambra High,101 South Second St.,91801-3716,34.095262,-118.129706
Alhambra Independent Study,8 Park St.,91801,No Data,No Data
All Souls School,29 South Electric Ave.,91801-1965,34.090639,-118.140499
Alpha Shen Kindergarten,618 N. Moore Ave.,91754-1020,34.069194,-118.130102
"Angel's Montessori Preschool, Inc.",150 N. Garfield Ave,91801-3546,34.096912,-118.127469
Bell Tower Trilingual School,3116 West Main St.,91801-1667,34.094189,-118.158667
BELMONT COLLEGE PREPARATORY,Information Redacted,91754,No Data,No Data
Blue Sky Schoolhouse,Information Redacted,91754-2619,Information Redacted,Information Redacted
Brightwood Elementary,1701 Brightwood St.,91754-5100,34.045452,-118.152682
California Institute of Sciences,Information Redacted,91801-1229,Information Redacted,Information Redacted
Century High,20 South Marengo Ave.,91801-1947,34.091236,-118.141948
Emery Park Elementary,2821 West Commonwealth Ave.,91803-1099,34.087820,-118.154352
Emmaus Lutheran,840 South Almansor,91801-4538,34.086332,-118.115657
EMMAUS LUTHERAN,Information Redacted,91801,No Data,No Data
First Baptist Church Alhambra Day Care,Information Redacted,91801-3256,Information Redacted,Information Redacted
Foothill Preparatory School,9123 BRd.way,91780,34.099751,-118.069474
Fremont Elementary,2001 South Elm St.,91803-2905,34.071205,-118.150518
Garfield Elementary,110 West McLean St.,91801-1364,34.101500,-118.132868
Grace Garden Preschool-Alhambra,Information Redacted,91801,No Data,No Data
Granada Elementary,100 South Granada Ave.,91801-4021,34.100675,-118.118610
Happy DAy School Inc.,507 N. Chandler Ave.,91754-1011,34.067504,-118.132409
Independence High (Alternative),20 South Marengo Ave.,91801-1947,34.091236,-118.141948
Leeway School,Information Redacted,91723-2616,Information Redacted,Information Redacted
Lily's Garden Preschool and Kindergarten,616 S Chapel Ave,91801-4401,34.089616,-118.119321
Marguerita Elementary,1603 South Marguerita Ave.,91803-3199,34.075684,-118.138267
Mark Keppel Adult High,501 East Hellman Ave.,91801,No Data,No Data
Mark Keppel High,501 East Hellman Ave.,91801-5716,34.069864,-118.115350
Martha Baldwin Elementary,900 South Almansor St.,91801-4854,34.106242,-118.127314
Monterey Highlands Elementary,400 Casuda Canyon Dr.,91754-2204,34.056576,-118.156539
Oneonta Montessori School,2221 Poplar Blvd.,91801-3051,34.092107,-118.148079
Park Elementary,301 North Marengo Ave.,91801-1917,34.095253,-118.142120
Park Preschool,220 North Raymond,91801,No Data,No Data
"PICCADILLY CENTER, A PRESCHOOL",Information Redacted,91801,No Data,No Data
Ramona Convent Secondary School,1701 West Ramona Rd.,91803-3080,34.071770,-118.138273
Ramona Elementary,509 West Norwood Pl.,91803-3217,34.076046,-118.128160
Repetto Elementary,650 South Grandridge Ave.,91754-3921,34.053985,-118.128399
Royal Institute,Information Redacted,91801-1229,Information Redacted,Information Redacted
San Gabriel Adult High,801 Ramona St.,91776,No Data,No Data
San Gabriel High,801 South Ramona St.,91776-2342,34.092839,-118.110073
Scanlon Center Community Adult,15 West Alhambra Rd.,91801-2435,No Data,No Data
Sherman School,Information Redacted,91803-8800,Information Redacted,Information Redacted
Sierra School of Alhambra,9 N Almansor St.,91801-2616,34.098293,-118.121823
St. Stephen Martyr,Information Redacted,91754-2802,Information Redacted,Information Redacted
St. Therese School,1106 East Alhambra Rd.,91801-2854,34.105866,-118.118532
St. Thomas More Catholic Elementary,2510 S. Fremont Ave.,91803-4321,34.064182,-118.147217
SUGAR CONE CASTLE,Information Redacted,91801,No Data,No Data
Universal Children Learning Academic,Information Redacted,91801-1801,No Data,No Data
William Northrup Elementary,409 South Atlantic Blvd.,91801-3643,34.096780,-118.134660
Ynez Elementary,120 South Ynez Ave.,91754-2822,34.062080,-118.129041
No Data,"1156 East Ave., S",93550-6149,No Data,No Data
Antelope Valley ROP,1156 East Ave. S,93550-6149,34.557956,-118.106767
No Data,670 West Ave. L-8,93534,No Data,No Data
No Data,176 Holston Dr.,93535-4531,No Data,No Data
Academies of the Antelope Valley,6300 West Avenue L,93536-4540,34.660140,-118.241042
Academy Of Creative Technologies - Antelope Valley,1335 Rancho Vista Blvd,93551-3182,34.601914,-118.154816
Academy of Divergent Learners,42910 50Th St. West,93536-5107,34.662445,-118.218495
Antelope Valley Adult/Independent Study,45110 Third St. East,93535-2502,34.702601,-118.125464
Antelope Valley Foundation for the Developmentally Disabled dba Daystar,Information Redacted,93534-3127,Information Redacted,Information Redacted
Antelope Valley High,44900 North Division St.,93535-2538,34.699110,-118.130348
Desert Pathways,6300 West Ave. L,93534-3226,No Data,No Data
Desert Sands Charter,44130 20th St. West,93534-4045,34.684768,-118.164172
Desert Winds Continuation High,415 East Kettering St.,93535-2503,34.700412,-118.123390
Eastside High,3200 East Ave. J-8,93535-5827,34.682501,-118.073252
Eminence Prep Academy,Information Redacted,93534,Information Redacted,Information Redacted
Fabunni Private School,4738 W Ave. J3,93536-2304,34.686430,-118.215998
Hearns (Henry) Charter,37721 East 100th St.,93543,No Data,No Data
Highland High,39055 25th St. West,93551-4164,34.585226,-118.174001
Holston Academy,177 Holston Dr.,93535-4570,34.665525,-118.129183
Independent Study,45024 3rd St.,93535,No Data,No Data
Jacobs school,Information Redacted,93535-4992,Information Redacted,Information Redacted
Lancaster High,44701 32nd St. West,93536-7023,34.694853,-118.188352
Littlerock High,10833 East Avenue R,93543-4106,34.572721,-117.935954
Los Angeles County Online High,"2600 Foothill Blvd., #301",91214-3588,34.221013,-118.235397
Palmdale High,2137 East Avenue R,93550-5415,34.572775,-118.091943
Paraclete High School,42145 N. 30Th St. W,93536-3344,34.648200,-118.184399
Patterns in Excellence High School,Information Redacted,93550,No Data,No Data
Phoenix High Community Day,"228 East Ave., H8",93535-1809,34.711275,-118.128623
Providence Private School,Information Redacted,93552-5137,No Data,No Data
Quartz Hill High,6040 West Avenue L,93536-4501,34.660109,-118.240034
R. Rex Parris High,38801 Clock Tower Plaza Dr.,93550-3346,34.587457,-118.119525
Schroeder Family Homeschool,Information Redacted,Information Redacted,Information Redacted,Information Redacted
Sierra Paloma,2231 E. Ave. Q,93550,No Data,No Data
SOAR High (Students On Academic Rise),3041 West Avenue K,93536-5426,34.674985,-118.184546
Sommer Haven Church School,Information Redacted,93536-3536,No Data,No Data
St. Rita Orthodox Catholic School,Information Redacted,93534,No Data,No Data
Star Academy,Information Redacted,93536-9476,Information Redacted,Information Redacted
"Synergy School of the Arts and Technology, Lancaster & Palmdale","44950 Valley Central Way, Ste. 101",93536-1507,34.699668,-118.170914
Vision Elemtary Shcool,Information Redacted,93551-6985,Information Redacted,Information Redacted
W T Reynolds Academy,Information Redacted,Information Redacted,Information Redacted,Information Redacted
William J. (Pete) Knight High,37423 70th St. East,93552-4800,34.561450,-118.008287
No Data,150 South 3rd Ave.,91006-3703,No Data,No Data
ALL SEASONS CHILDREN'S LEARNIN,Information Redacted,91007,No Data,No Data
Arcadia Adult,150 South Third Ave.,91006-3703,34.138486,-118.023436
Arcadia Christian School,1900 South Santa Anita Ave.,91006-4607,34.117411,-118.029300
Arcadia College Preparatory,"145 East Duarte Rd., Unit 801",91006-3993,34.130611,-118.026118
Arcadia High,180 Campus Dr.,91007-6958,34.130636,-118.038650
Arcadia Montessori School,1406 South Santa Anita Ave.,91006-4013,34.123828,-118.030553
Arroyo Pacific Academy,325 North Santa Anita Ave.,91006-2878,34.144011,-118.032095
Baldwin Stocker Elementary,422 West Lemon Ave.,91007-6902,34.118191,-118.046215
Barnhart School,240 West Colorado Blvd.,91007-2606,34.145379,-118.039697
Bonita Park Elementary,120 S. Third Ave.,91006,No Data,No Data
Camino Grove Elementary,700 Camino Grove Ave.,91007-6902,34.125482,-118.017110
CO-OPERATIVE CHRISTIAN ACADEMY,Information Redacted,91006,No Data,No Data
First Avenue Middle,301 South First Ave.,91006-3802,34.136774,-118.028351
Foothills Middle,171 East Sycamore Ave.,91006-2452,34.152912,-118.026051
Highland Oaks Elementary,10 Virginia Dr.,91006-1899,34.160294,-118.031243
Holly Avenue Elementary,360 West Duarte Rd.,91007-3097,34.127517,-118.044446
Holy Angels,360 Campus Dr.,91007-6917,34.130373,-118.044727
Hugo Reid Elementary,1000 Hugo Reid Dr.,91007-6179,34.138089,-118.062644
Huntington High (Cont.),20 South 3rd Ave.,91006,No Data,No Data
Logos Academia,Information Redacted,91780,No Data,No Data
Longley Way Elementary,2601 Longley Way,91007-5099,34.107822,-118.041191
Our Lady of the Angels Academy,1100 West Duarte Rd.,91007-7726,34.124048,-118.064759
Rancho Learning Center (Alternative),150 South Third Ave.,91006-3703,34.138031,-118.023522
Renaissance Academy,325 N. Santa Anita Ave.,91006-2878,34.143914,-118.032413
Richard Henry Dana Middle,1401 South First Ave.,91006-4134,34.124234,-118.028092
Santa Anita Elementary,1900 S. Santa Anita Ave.,91006,No Data,No Data
Serendipity Early Care and Education Center,Information Redacted,91007-1007,No Data,No Data
Serendipity Early Care and Education Center,Information Redacted,91006-1006,No Data,No Data
Steps Academy,Information Redacted,91006-3607,Information Redacted,Information Redacted
TECC Learning Center,Information Redacted,91006-3926,Information Redacted,Information Redacted
UC Tutor Service,"20 E Foothill Blvd, Ste 216",91006-2335,34.150632,-118.030684
Wonder Years Montessori,Information Redacted,91007,Information Redacted,Information Redacted
No Data,546 South Citrus Ave.,91702-0500,No Data,No Data
Alice M. Ellington Elementary,5034 North Clydebank,91722-1115,34.103441,-117.921085
Alternative Learning Center (Cont.),5834 North Barranca Canyon,91740,No Data,No Data
Alternative Learning Ctr. (Cont.),1134 South Barranca,91740,No Data,No Data
Auburn Academy,1044 N Alameda Ave,91702-2101,34.140697,-117.905859
Azusa Adult Education Center,1040 East Gladstone St.,91742,34.113828,-117.886588
Azusa High,240 North Cerritos Ave.,91702-3733,34.125392,-117.899365
Center Middle,5500 North Cerritos Ave.,91702-5731,34.113011,-117.898882
