Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10,Datetime,Week,Month,PM2.5_Weekly_Avg,PM10_Weekly_Avg,PM2.5_Monthly_Avg,PM10_Monthly_Avg
01/01/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,7.0,2024-01-01 00:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.5,11.0,2024-01-01 01:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.7,12.0,2024-01-01 02:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.6,18.0,2024-01-01 03:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,25.4,33.0,2024-01-01 04:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,28.6,36.0,2024-01-01 05:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,39.6,51.0,2024-01-01 06:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,48.4,53.0,2024-01-01 07:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,55.2,62.0,2024-01-01 08:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,52.8,53.0,2024-01-01 09:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,32.9,38.0,2024-01-01 10:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,30.5,34.0,2024-01-01 11:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,25.1,29.0,2024-01-01 12:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.7,28.0,2024-01-01 13:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.1,18.0,2024-01-01 14:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.8,15.0,2024-01-01 15:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.1,16.0,2024-01-01 16:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,17:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.2,16.0,2024-01-01 17:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,18:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.7,9.0,2024-01-01 18:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,19:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.9,6.0,2024-01-01 19:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,20:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.6,8.0,2024-01-01 20:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,21:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,5.0,2024-01-01 21:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,22:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.8,5.0,2024-01-01 22:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/01/24,23:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.9,3.0,2024-01-01 23:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,00:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.9,12.0,2024-01-02 00:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,01:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,22.0,2024-01-02 01:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,02:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.4,14.0,2024-01-02 02:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,03:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.7,24.0,2024-01-02 03:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,04:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.0,26.0,2024-01-02 04:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,05:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.4,24.0,2024-01-02 05:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,06:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.8,22.0,2024-01-02 06:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,07:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.0,25.0,2024-01-02 07:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.6,17.0,2024-01-02 08:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.0,20.0,2024-01-02 09:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.7,17.0,2024-01-02 10:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.9,14.0,2024-01-02 11:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.1,12.0,2024-01-02 12:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,12.1,15.0,2024-01-02 13:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.5,16.0,2024-01-02 14:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.8,21.0,2024-01-02 15:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
01/02/24,16:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.1,27.0,2024-01-02 16:00:00,1,1,14.672685185185186,21.37037037037037,12.230540540540542,19.952766531713902
